,EndOfSong,verse,intro,pre-chorus,chorus,instrumental,bridge,outro,solo
StartOfSong,0.041666666666666664,0.375,0.5416666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
verse,0.01639344262295082,0.06557377049180328,0.0,0.16393442622950818,0.7213114754098361,0.01639344262295082,0.01639344262295082,0.0,0.0
chorus,0.10144927536231885,0.34782608695652173,0.0,0.028985507246376812,0.043478260869565216,0.11594202898550725,0.15942028985507245,0.17391304347826086,0.028985507246376812
bridge,0.0,0.2222222222222222,0.0,0.05555555555555555,0.6111111111111112,0.0,0.0,0.05555555555555555,0.05555555555555555
outro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instrumental,0.0,0.25,0.0,0.0,0.125,0.0,0.375,0.125,0.125
pre-chorus,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0
solo,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
