Genre,Count
pop,169
80s,297
british,23
new wave,69
dance,19
synth pop,6
synthpop,11
hard rock,35
classic rock,159
rock,232
heavy metal,12
australian artist,4
,371
hair metal,5
bon jovi,3
female vocalists,50
ballad,13
bruce springsteen,5
singer-songwriter,56
folk,32
canadian,7
70s,14
easy listening,4
oldies,5
sexy,1
new zealand,1
90s,5
cyndi lauper,3
dire straits,5
love,19
soundtrack,13
disney,1
piano,4
eurythmics,2
8 of 10 stars,2
guns n roses,7
punk,8
punk rock,3
american anthems,1
australian,10
phil collins,4
alternative,39
alternative rock,6
indie,18
pixies,1
indie rock,1
poison,1
soul,20
funk,10
queen,11
glam rock,5
love songs,5
richard marx,1
sting,2
post-punk,14
the police,1
scottish,2
melancholy,3
the smiths,2
soft rock,17
tracy chapman,1
acoustic,6
traveling wilburys,1
tom petty,2
u2,7
disco,7
chanson française,2
french,7
alain souchon,1
france,1
christian,2
celine dion,1
rnb,4
chanson francaise,6
romantic,7
george michael,2
rock en espanol,1
pop espanol,1
spanish pop,3
hombres g,1
spanish,5
nice,1
iskelma,1
suomi,2
kate bush,1
leonard cohen,4
blues,12
michael jackson,10
new age,1
dirty dancing,1
male vocalists,3
relaxing,1
sentimental,1
duet,1
prince,4
brutal death metal,1
rickroll,1
rickrolled,1
pop rock,1
roxette,2
roxy music,1
progressive rock,5
symphonic rock,1
whitney houston,4
schlager,1
party,1
wolfgang petry,1
deutsche schlager,1
spiritual,1
irish,8
folk rock,7
celtic,3
rock and roll,1
rockabilly,1
rock n roll,1
christmas,18
xmas,5
christmas songs,2
chris rea,1
abba,4
jazz,4
reggae,5
vocal,1
a capella,1
morrissey,2
john lennon,3
country,27
george strait,4
classic country,12
holiday,3
country christmas,2
american artist,1
english lyrics,1
europe,1
childhood,1
linedance catalan,1
elton john,1
foreigner,1
supergroup,1
travelling wilburys,1
thrash metal,4
metal,7
metallica,4
donnie darko,2
guitar,7
children's music,1
shay,1
wheels on the bus,1
dan fogelberg,2
joy division,1
garth brooks,2
if tomorrow never comes,1
70s rock,1
german,1
deutsch,2
fleetwood mac,3
the beatles,1
new year,1
tina turner,1
roots reggae,2
bob marley,2
classic,1
epic,1
classy rockjam n play?,1
inxs,1
whitesnake,1
madonna,2
finnish,1
melancholic,1
don henley,1
swedish,2
electronic,3
names,1
jessie,1
get psyched song,1
old country,1
waylon jennings,1
willie nelson,1
latin,2
flamenco,2
world,1
mod,1
smooth jazz,1
journey,3
swing,1
crooners,1
lovesongs,2
memorable,1
weekend mornings,1
george harrison,1
david bowie,2
billy idol,1
grunge,1
keith whitley,3
male country,1
stevie nicks,2
gipsy kings,1
spanish guitar,1
americana,1
alt-country,1
steve earle,1
duran duran,1
sade,1
van halen,1
king of pop,1
blues rock,9
the cure,1
billy joel,1
tears for fears,1
happy,1
reo speedwagon,2
bryan adams,1
mellow,1
jamaica,1
pink floyd,2
psychedelic rock,2
southern rock,1
60s,2
chilled,1
summer,2
80's,1
hindi,1
you look so good in love,1
psychedelic,1
1984,2
opm,2
mecano,1
top 40,1
jazzysxmas,1
a cappella,1
chanson,1
aussie,2
glam metal,1
sad,1
italian,1
italian pop,1
toto cutugno,1
it might be you,1
kenny rogers,2
james taylor,1
new romantic,2
rhythm and blues,2
bluegrass,1
philippines,1
pinoy music,1
boston,1
rock ballads,2
australia,1
dvd soundtrack,1
randy travis,2
deeper than the holler,1
stevie wonder,1
rb,1
motown,1
folk - celtic,1
ballads,1
best,1
ub40,1
john mellencamp,1
depeche mode,2
dio,1
john hiatt,1
20th century,1
baby beluga,1
rhymes,1
feel good,1
timeless,1
labyrinth,1
soft-rock,1
traditional country,1
modern talking,1
tom waits,2
simply red,1
good times,1
one hit wonder,1
linedance,1
frontloader,1
cabaret,1
comedy,1
dutch,2
austropop,1
austrian,1
rainhard fendrich,1
don williams,1
lady,1
hippo mix,1
deep purple,1
power ballad,2
golden earring,1
tesla,1
choir,1
emo,1
eric clapton,1
cover,1
9 of 10 stars,1
austro,1
seasonal,1
male vocalist,1
the rolling stones,1
pete townshend,1
the who,1
peter gabriel,1
great stuff,1
australian rock,1
contemporary praise and worship,1
