,#VI,vi,VI,II,IV,V,I,ii,iii,III,bv
V,0.05357142857142857,0.20238095238095238,0.017857142857142856,0.07142857142857142,0.27976190476190477,0.05952380952380952,0.19642857142857142,0.06547619047619048,0.023809523809523808,0.023809523809523808,0.005952380952380952
#VI,0.0,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.25,0.25,0.0,0.0,0.0
I,0.04419889502762431,0.03314917127071823,0.06077348066298342,0.03314917127071823,0.11602209944751381,0.287292817679558,0.23756906077348067,0.04419889502762431,0.08839779005524862,0.055248618784530384,0.0
ii,0.10606060606060606,0.12121212121212122,0.0,0.0,0.12121212121212122,0.24242424242424243,0.07575757575757576,0.06060606060606061,0.015151515151515152,0.25757575757575757,0.0
III,0.0,0.25925925925925924,0.0,0.037037037037037035,0.1111111111111111,0.0,0.037037037037037035,0.5185185185185185,0.0,0.037037037037037035,0.0
II,0.0,0.01818181818181818,0.05454545454545454,0.32727272727272727,0.2545454545454545,0.09090909090909091,0.05454545454545454,0.01818181818181818,0.10909090909090909,0.07272727272727272,0.0
IV,0.03571428571428571,0.10714285714285714,0.014285714285714285,0.05714285714285714,0.05714285714285714,0.25,0.4142857142857143,0.02142857142857143,0.04285714285714286,0.0,0.0
vi,0.0,0.11965811965811966,0.017094017094017096,0.042735042735042736,0.4358974358974359,0.19658119658119658,0.10256410256410256,0.05982905982905983,0.017094017094017096,0.008547008547008548,0.0
VI,0.0,0.07692307692307693,0.2692307692307692,0.0,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.19230769230769232,0.07692307692307693,0.0,0.0
iii,0.0,0.043478260869565216,0.0,0.17391304347826086,0.021739130434782608,0.1956521739130435,0.34782608695652173,0.10869565217391304,0.10869565217391304,0.0,0.0
