,i,VI,III,I,vi,IV,II,V,iii,iv,VII,v,#VI,bvii,#V,#II,ii,bVII,vii,#I,bV,bII,bIII,bVI,bIV,bvi,biii
III,0.034722222222222224,0.0625,0.10416666666666667,0.04861111111111111,0.4652777777777778,0.1111111111111111,0.08333333333333333,0.04861111111111111,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.1152073732718894,0.2073732718894009,0.0,0.0,0.0,0.04608294930875576,0.03686635944700461,0.06912442396313365,0.0,0.22119815668202766,0.16589861751152074,0.12903225806451613,0.009216589861751152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv,0.16455696202531644,0.0379746835443038,0.0,0.25316455696202533,0.056962025316455694,0.0,0.0,0.0379746835443038,0.0,0.012658227848101266,0.25949367088607594,0.0759493670886076,0.02531645569620253,0.06329113924050633,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.3146551724137931,0.09482758620689655,0.04741379310344827,0.09913793103448276,0.0,0.01293103448275862,0.02586206896551724,0.04741379310344827,0.15517241379310345,0.0,0.07758620689655173,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ii,0.0,0.018338727076591153,0.006472491909385114,0.2837108953613808,0.0970873786407767,0.15318230852211434,0.028047464940668825,0.2535059331175836,0.032362459546925564,0.0,0.0,0.028047464940668825,0.042071197411003236,0.002157497303128371,0.0,0.011866235167206042,0.039913700107874865,0.003236245954692557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.007051712558764272,0.0157824042981867,0.007723304231027535,0.36165211551376764,0.14573539288112827,0.2122229684351914,0.04499664204163868,0.10443250503693755,0.0325721961047683,0.001343183344526528,0.001343183344526528,0.0,0.004365345869711216,0.0,0.0,0.0,0.0577568838146407,0.0,0.0023505708529214238,0.000671591672263264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.007585335018963337,0.006573957016434893,0.14108723135271808,0.08369152970922883,0.2407079646017699,0.05259165613147914,0.2857142857142857,0.03969658659924147,0.00809102402022756,0.007079646017699115,0.008596713021491783,0.02882427307206068,0.0,0.00025284450063211124,0.001011378002528445,0.0829329962073325,0.0035398230088495575,0.0005056890012642225,0.0005056890012642225,0.00025284450063211124,0.0007585335018963338,0.0,0.0,0.0,0.0,0.0
IV,0.0,0.013944223107569721,0.009163346613545816,0.3772908366533865,0.07649402390438247,0.05657370517928287,0.019123505976095617,0.3207171314741036,0.02151394422310757,0.008764940239043825,0.002390438247011952,0.0007968127490039841,0.03187250996015936,0.0007968127490039841,0.0007968127490039841,0.006772908366533864,0.05139442231075697,0.0007968127490039841,0.0,0.0,0.0,0.0,0.00039840637450199205,0.00039840637450199205,0.0,0.0,0.0
vi,0.0,0.0018796992481203006,0.015664160401002505,0.19862155388471178,0.09398496240601503,0.19987468671679198,0.03571428571428571,0.2656641604010025,0.07017543859649122,0.0006265664160401002,0.008771929824561403,0.011278195488721804,0.011904761904761904,0.0,0.0,0.0,0.06766917293233082,0.002506265664160401,0.0018796992481203006,0.0,0.0,0.0,0.0,0.0012531328320802004,0.012531328320802004,0.0,0.0
II,0.0017574692442882249,0.02460456942003515,0.029876977152899824,0.27768014059753954,0.13005272407732865,0.0773286467486819,0.0843585237258348,0.22144112478031636,0.10017574692442882,0.0,0.012302284710017574,0.01757469244288225,0.005272407732864675,0.0035149384885764497,0.0,0.0017574692442882249,0.01054481546572935,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0
iii,0.0,0.0218408736349454,0.0015600624024961,0.1684867394695788,0.21840873634945399,0.20748829953198128,0.0686427457098284,0.12792511700468018,0.06708268330733229,0.0,0.0265210608424337,0.0015600624024961,0.0046801872074883,0.0,0.0,0.0,0.06708268330733229,0.0124804992199688,0.0062402496099844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#II,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.03333333333333333,0.0,0.0,0.0,0.0,0.05,0.31666666666666665,0.0,0.11666666666666667,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#V,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.047619047619047616,0.19047619047619047,0.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#I,0.1111111111111111,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,0.059748427672955975,0.1320754716981132,0.012578616352201259,0.1540880503144654,0.012578616352201259,0.11320754716981132,0.0440251572327044,0.07547169811320754,0.03773584905660377,0.03773584905660377,0.1509433962264151,0.015723270440251572,0.012578616352201259,0.0,0.0,0.0,0.12264150943396226,0.0,0.006289308176100629,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#VI,0.0,0.048701298701298704,0.0,0.43506493506493504,0.05194805194805195,0.2694805194805195,0.003246753246753247,0.05519480519480519,0.0,0.00974025974025974,0.0,0.006493506493506494,0.03571428571428571,0.0,0.003246753246753247,0.032467532467532464,0.048701298701298704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vii,0.0,0.0,0.0,0.35,0.0,0.0,0.1,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bVII,0.0,0.0,0.0625,0.09375,0.0,0.375,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v,0.14857142857142858,0.06285714285714286,0.011428571428571429,0.4,0.022857142857142857,0.04,0.0,0.0,0.0,0.07428571428571429,0.16,0.05142857142857143,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022857142857142857,0.0,0.0,0.0,0.0
bIII,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
bII,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.10714285714285714,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.39285714285714285,0.0,0.17857142857142858,0.10714285714285714,0.0,0.07142857142857142,0.0
bV,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.36666666666666664
bVI,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.047619047619047616,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.19047619047619047,0.0,0.14285714285714285,0.0,0.0,0.0
bvii,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061,0.0,0.0,0.06060606060606061,0.0,0.0,0.24242424242424243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,0.24242424242424243,0.06060606060606061,0.0,0.0,0.030303030303030304
biii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,0.0
bvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
