,vi,V,I,IV,ii,i,III,VI,iii,#VI,VII,#II,bII
V,0.16831683168316833,0.26732673267326734,0.1485148514851485,0.27722772277227725,0.019801980198019802,0.0297029702970297,0.009900990099009901,0.009900990099009901,0.06930693069306931,0.0,0.0,0.0,0.0
vi,0.0851063829787234,0.1702127659574468,0.23404255319148937,0.1702127659574468,0.0851063829787234,0.0,0.0851063829787234,0.0,0.1702127659574468,0.0,0.0,0.0,0.0
I,0.15,0.2375,0.1875,0.2875,0.0625,0.0,0.0125,0.0125,0.0,0.05,0.0,0.0,0.0
i,0.0,0.043478260869565216,0.0,0.13043478260869565,0.0,0.13043478260869565,0.08695652173913043,0.391304347826087,0.0,0.0,0.21739130434782608,0.0,0.0
IV,0.008130081300813009,0.3170731707317073,0.21951219512195122,0.17886178861788618,0.06504065040650407,0.0,0.0,0.024390243902439025,0.08130081300813008,0.056910569105691054,0.016260162601626018,0.032520325203252036,0.0
VII,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0,0.3157894736842105,0.10526315789473684,0.3157894736842105,0.0,0.0,0.05263157894736842,0.0,0.0
III,0.05555555555555555,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0
VI,0.0,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.4166666666666667,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
ii,0.06451612903225806,0.16129032258064516,0.16129032258064516,0.3548387096774194,0.06451612903225806,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.15384615384615385,0.0,0.038461538461538464,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0
#II,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
#VI,0.0,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
