,IV,ii,V,I,VI,#VI,vi,II,i,iv
vi,0.3541666666666667,0.3333333333333333,0.2708333333333333,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
IV,0.027777777777777776,0.0,0.5555555555555556,0.2916666666666667,0.0,0.125,0.0,0.0,0.0,0.0
II,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
I,0.25773195876288657,0.041237113402061855,0.27835051546391754,0.061855670103092786,0.0,0.061855670103092786,0.23711340206185566,0.061855670103092786,0.0,0.0
V,0.14285714285714285,0.07792207792207792,0.03896103896103896,0.5844155844155844,0.0,0.0,0.12987012987012986,0.025974025974025976,0.0,0.0
ii,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,0.03571428571428571,0.5357142857142857,0.0,0.0,0.0
i,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VI,0.0,0.037037037037037035,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.2222222222222222,0.4444444444444444
iv,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
#VI,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
