,vi,IV,I,V,ii,III,iii,II,VII,iv,bVII,VI,i,#V,v
I,0.10696095076400679,0.21222410865874364,0.16298811544991512,0.3769100169779287,0.05432937181663837,0.030560271646859084,0.03735144312393888,0.015280135823429542,0.001697792869269949,0.001697792869269949,0.0,0.0,0.0,0.0,0.0
vi,0.08459214501510574,0.31419939577039274,0.2688821752265861,0.22054380664652568,0.03927492447129909,0.021148036253776436,0.03927492447129909,0.006042296072507553,0.0,0.0,0.006042296072507553,0.0,0.0,0.0,0.0
V,0.25846153846153846,0.3230769230769231,0.23076923076923078,0.06153846153846154,0.06769230769230769,0.006153846153846154,0.024615384615384615,0.018461538461538463,0.0,0.0,0.0,0.003076923076923077,0.006153846153846154,0.0,0.0
IV,0.11056511056511056,0.11056511056511056,0.5675675675675675,0.14004914004914004,0.0343980343980344,0.004914004914004914,0.02457002457002457,0.0,0.0,0.0,0.004914004914004914,0.0,0.0,0.002457002457002457,0.0
ii,0.336734693877551,0.23469387755102042,0.20408163265306123,0.08163265306122448,0.061224489795918366,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0
i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.46875,0.09375,0.0,0.21875,0.09375,0.0,0.09375
iv,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.15789473684210525,0.15789473684210525,0.0,0.10526315789473684,0.2631578947368421,0.0,0.2631578947368421
v,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,0.46153846153846156,0.0,0.0
iii,0.14754098360655737,0.2459016393442623,0.3770491803278688,0.08196721311475409,0.01639344262295082,0.01639344262295082,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
VI,0.0,0.0,0.06451612903225806,0.0967741935483871,0.0,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.3225806451612903,0.0,0.0,0.06451612903225806,0.2903225806451613,0.0,0.03225806451612903
III,0.5384615384615384,0.34615384615384615,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
II,0.35,0.15,0.0,0.2,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
bVII,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0
VII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.25,0.0,0.16666666666666666,0.25,0.0,0.25
