,verse,intro,interlude,solo,chorus,main riff,instrumental,outro,pre-chorus,EndOfSong,refrain,bridge,break
StartOfSong,0.29394812680115273,0.6628242074927954,0.005763688760806916,0.008645533141210375,0.020172910662824207,0.002881844380403458,0.002881844380403458,0.002881844380403458,0.0,0.0,0.0,0.0,0.0
verse,0.176930596285435,0.0,0.010752688172043012,0.01270772238514174,0.5659824046920822,0.0019550342130987292,0.0469208211143695,0.042033235581622676,0.03128054740957967,0.039100684261974585,0.013685239491691105,0.05767350928641251,0.0009775171065493646
chorus,0.46534653465346537,0.0,0.05374823196605375,0.04950495049504951,0.0297029702970297,0.002828854314002829,0.06082036775106082,0.09759547383309759,0.0,0.16548797736916548,0.002828854314002829,0.055162659123055166,0.016973125884016973
outro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.9928571428571429,0.0,0.0,0.0
bridge,0.415929203539823,0.0,0.017699115044247787,0.035398230088495575,0.36283185840707965,0.0,0.035398230088495575,0.04424778761061947,0.0,0.05309734513274336,0.008849557522123894,0.017699115044247787,0.008849557522123894
solo,0.47540983606557374,0.0,0.03278688524590164,0.01639344262295082,0.18032786885245902,0.0,0.01639344262295082,0.08196721311475409,0.01639344262295082,0.08196721311475409,0.01639344262295082,0.08196721311475409,0.0
intro,0.8898305084745762,0.0,0.0,0.00847457627118644,0.059322033898305086,0.00847457627118644,0.01694915254237288,0.00423728813559322,0.0,0.012711864406779662,0.0,0.0,0.0
instrumental,0.6565656565656566,0.0,0.020202020202020204,0.010101010101010102,0.13131313131313133,0.0,0.010101010101010102,0.050505050505050504,0.030303030303030304,0.050505050505050504,0.0,0.04040404040404041,0.0
interlude,0.5925925925925926,0.0,0.018518518518518517,0.037037037037037035,0.14814814814814814,0.0,0.037037037037037035,0.09259259259259259,0.0,0.018518518518518517,0.0,0.05555555555555555,0.0
pre-chorus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
break,0.42857142857142855,0.0,0.0,0.07142857142857142,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0
refrain,0.3125,0.0,0.0,0.0625,0.0,0.0,0.0,0.1875,0.0,0.25,0.0,0.1875,0.0
main riff,0.4166666666666667,0.16666666666666666,0.0,0.0,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
