,intro,verse,chorus,outro,instrumental,EndOfSong,bridge,solo,break,pre-chorus,interlude,refrain
StartOfSong,0.7142857142857143,0.2571428571428571,0.023809523809523808,0.004761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intro,0.0,0.8993288590604027,0.06040268456375839,0.0,0.020134228187919462,0.020134228187919462,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.0016474464579901153,0.18945634266886327,0.5304777594728172,0.03789126853377265,0.07084019769357495,0.04612850082372323,0.03789126853377265,0.006589785831960461,0.004942339373970346,0.04612850082372323,0.014827018121911038,0.013179571663920923
chorus,0.0,0.40097799511002447,0.014669926650366748,0.13447432762836187,0.11246943765281174,0.15647921760391198,0.08557457212713937,0.02444987775061125,0.012224938875305624,0.0,0.05623471882640587,0.0024449877750611247
instrumental,0.01020408163265306,0.7244897959183674,0.15306122448979592,0.02040816326530612,0.0,0.01020408163265306,0.04081632653061224,0.02040816326530612,0.01020408163265306,0.0,0.01020408163265306,0.0
bridge,0.0,0.29850746268656714,0.43283582089552236,0.04477611940298507,0.07462686567164178,0.1044776119402985,0.0,0.0,0.0,0.029850746268656716,0.014925373134328358,0.0
outro,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
solo,0.0,0.631578947368421,0.10526315789473684,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0
interlude,0.0,0.696969696969697,0.12121212121212122,0.030303030303030304,0.0,0.0,0.12121212121212122,0.030303030303030304,0.0,0.0,0.0,0.0
break,0.0,0.6363636363636364,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0
pre-chorus,0.0,0.03125,0.875,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0625
refrain,0.0,0.36363636363636365,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0
