,intro,verse,chorus,bridge,EndOfSong,interlude,pre-chorus,instrumental,outro
StartOfSong,0.5576923076923077,0.4230769230769231,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0
intro,0.0,0.967741935483871,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.0,0.023255813953488372,0.7829457364341085,0.046511627906976744,0.031007751937984496,0.03875968992248062,0.06976744186046512,0.007751937984496124,0.0
bridge,0.0,0.35714285714285715,0.39285714285714285,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.17857142857142858
outro,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
chorus,0.0,0.3153846153846154,0.015384615384615385,0.16923076923076924,0.18461538461538463,0.05384615384615385,0.007692307692307693,0.12307692307692308,0.13076923076923078
instrumental,0.0,0.7222222222222222,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
interlude,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
pre-chorus,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
