,verse,intro,chorus,bridge,pre-chorus,EndOfSong,solo,instrumental,outro,interlude,break
StartOfSong,0.2909698996655518,0.6889632107023411,0.020066889632107024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.12283044058744993,0.0,0.5967957276368492,0.04806408544726302,0.14152202937249667,0.028037383177570093,0.009345794392523364,0.022696929238985315,0.014686248331108143,0.012016021361815754,0.004005340453938585
chorus,0.3671988388969521,0.0,0.018867924528301886,0.13352685050798258,0.008708272859216255,0.15529753265602322,0.026124818577648767,0.0899854862119013,0.1378809869375907,0.05370101596516691,0.008708272859216255
intro,0.9238095238095239,0.009523809523809525,0.04285714285714286,0.004761904761904762,0.0,0.009523809523809525,0.0,0.004761904761904762,0.004761904761904762,0.0,0.0
solo,0.2727272727272727,0.0,0.2727272727272727,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.21212121212121213,0.0,0.06060606060606061
outro,0.0,0.0,0.0,0.0,0.0,0.993006993006993,0.0,0.0,0.006993006993006993,0.0,0.0
bridge,0.1554054054054054,0.0,0.527027027027027,0.0,0.033783783783783786,0.06756756756756757,0.02027027027027027,0.033783783783783786,0.14189189189189189,0.02027027027027027,0.0
instrumental,0.5180722891566265,0.0,0.21686746987951808,0.18072289156626506,0.0,0.012048192771084338,0.0,0.0,0.060240963855421686,0.0,0.012048192771084338
pre-chorus,0.025210084033613446,0.0,0.9411764705882353,0.025210084033613446,0.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.0
interlude,0.5208333333333334,0.0,0.2708333333333333,0.0625,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.0,0.0625,0.0,0.0
break,0.6666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0
