,verse,intro,interlude,chords,solo,main riff,instrumental,outro,chorus,riff,pre-chorus,refrain,bridge,EndOfSong,guitar solo,link,coda,hook,break,ending,post-chorus
StartOfSong,0.273224043715847,0.6808743169398908,0.002185792349726776,0.014207650273224045,0.003278688524590164,0.002185792349726776,0.002185792349726776,0.001092896174863388,0.01639344262295082,0.003278688524590164,0.001092896174863388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.10811897106109325,0.00040192926045016077,0.018890675241157555,0.0,0.012057877813504822,0.0008038585209003215,0.029340836012861738,0.02572347266881029,0.6089228295819936,0.0020096463022508037,0.08641479099678456,0.012861736334405145,0.05707395498392283,0.028938906752411574,0.0020096463022508037,0.0012057877813504824,0.0008038585209003215,0.002411575562700965,0.001607717041800643,0.00040192926045016077,0.0
chorus,0.3702677746999077,0.0009233610341643582,0.04524469067405355,0.0004616805170821791,0.05355493998153278,0.0009233610341643582,0.08956602031394276,0.12188365650969529,0.024469067405355493,0.002770083102493075,0.0046168051708217915,0.0004616805170821791,0.11080332409972299,0.14219759926131118,0.003693444136657433,0.0046168051708217915,0.002770083102493075,0.0018467220683287165,0.008310249307479225,0.004155124653739612,0.006463527239150508
outro,0.0,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0045351473922902496,0.0,0.0045351473922902496,0.015873015873015872,0.0022675736961451248,0.0022675736961451248,0.0,0.0,0.0,0.9387755102040817,0.0,0.0,0.009070294784580499,0.0,0.0,0.015873015873015872,0.0
bridge,0.2662337662337662,0.0021645021645021645,0.0367965367965368,0.0021645021645021645,0.05844155844155844,0.0,0.04329004329004329,0.07792207792207792,0.42207792207792205,0.0,0.012987012987012988,0.006493506493506494,0.004329004329004329,0.04112554112554113,0.008658008658008658,0.0,0.0021645021645021645,0.0021645021645021645,0.008658008658008658,0.0021645021645021645,0.0021645021645021645
solo,0.37055837563451777,0.0,0.025380710659898477,0.0,0.005076142131979695,0.0,0.005076142131979695,0.06598984771573604,0.27918781725888325,0.005076142131979695,0.030456852791878174,0.01015228426395939,0.1218274111675127,0.06598984771573604,0.0,0.0,0.0,0.0,0.01015228426395939,0.005076142131979695,0.0
intro,0.9275808936825886,0.0,0.0015408320493066256,0.0,0.0030816640986132513,0.0030816640986132513,0.009244992295839754,0.0015408320493066256,0.03852080123266564,0.0,0.0,0.004622496147919877,0.0,0.007704160246533128,0.0015408320493066256,0.0,0.0,0.0015408320493066256,0.0,0.0,0.0
instrumental,0.5504885993485342,0.003257328990228013,0.013029315960912053,0.0,0.016286644951140065,0.0,0.006514657980456026,0.06514657980456026,0.1758957654723127,0.003257328990228013,0.006514657980456026,0.006514657980456026,0.11074918566775244,0.03257328990228013,0.0,0.0,0.003257328990228013,0.0,0.0,0.006514657980456026,0.0
interlude,0.5254237288135594,0.0,0.005649717514124294,0.0,0.03954802259887006,0.0,0.02824858757062147,0.0847457627118644,0.1977401129943503,0.0,0.02824858757062147,0.005649717514124294,0.062146892655367235,0.022598870056497175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrain,0.3617021276595745,0.0,0.0,0.0,0.06382978723404255,0.0,0.02127659574468085,0.0851063829787234,0.10638297872340426,0.0,0.02127659574468085,0.0425531914893617,0.1276595744680851,0.14893617021276595,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
chords,0.13333333333333333,0.7333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre-chorus,0.02390438247011952,0.0,0.00398406374501992,0.0,0.00398406374501992,0.0,0.00398406374501992,0.01195219123505976,0.9203187250996016,0.0,0.0,0.01195219123505976,0.00796812749003984,0.01195219123505976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
break,0.4482758620689655,0.0,0.0,0.0,0.13793103448275862,0.0,0.034482758620689655,0.06896551724137931,0.2413793103448276,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main riff,0.46153846153846156,0.15384615384615385,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
riff,0.46153846153846156,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guitar solo,0.3888888888888889,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.3888888888888889,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hook,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
post-chorus,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.2,0.0,0.0,0.0,0.06666666666666667,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
