,verse,intro,chorus,outro,refrain,solo,bridge,instrumental,EndOfSong,interlude,pre-chorus
StartOfSong,0.285140562248996,0.6827309236947792,0.028112449799196786,0.004016064257028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.1794871794871795,0.001349527665317139,0.5465587044534413,0.03508771929824561,0.012145748987854251,0.012145748987854251,0.044534412955465584,0.059379217273954114,0.04048582995951417,0.009446693657219974,0.059379217273954114
chorus,0.4124293785310734,0.0,0.02071563088512241,0.1337099811676083,0.0,0.030131826741996232,0.09792843691148775,0.0847457627118644,0.1431261770244821,0.07344632768361582,0.003766478342749529
outro,0.0,0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.9915966386554622,0.0,0.0
intro,0.9431818181818182,0.0,0.028409090909090908,0.0,0.0,0.0,0.0,0.005681818181818182,0.022727272727272728,0.0,0.0
refrain,0.38461538461538464,0.0,0.0,0.23076923076923078,0.0,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0
bridge,0.37755102040816324,0.0,0.3979591836734694,0.04081632653061224,0.02040816326530612,0.01020408163265306,0.0,0.05102040816326531,0.05102040816326531,0.02040816326530612,0.030612244897959183
solo,0.5666666666666667,0.0,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333
instrumental,0.6354166666666666,0.010416666666666666,0.15625,0.0625,0.0,0.010416666666666666,0.08333333333333333,0.0,0.020833333333333332,0.020833333333333332,0.0
interlude,0.48,0.0,0.26,0.1,0.0,0.04,0.08,0.02,0.02,0.0,0.0
pre-chorus,0.020833333333333332,0.0,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
