,verse,intro,solo,interlude,chorus,instrumental,EndOfSong,bridge,outro,refrain,pre-chorus
StartOfSong,0.26380368098159507,0.6993865030674846,0.012269938650306749,0.006134969325153374,0.012269938650306749,0.006134969325153374,0.0,0.0,0.0,0.0,0.0
verse,0.1837160751565762,0.0,0.014613778705636743,0.006263048016701462,0.5219206680584552,0.06680584551148225,0.04592901878914405,0.05636743215031315,0.05010438413361169,0.020876826722338204,0.033402922755741124
chorus,0.43322475570032576,0.0,0.08143322475570032,0.05863192182410423,0.03257328990228013,0.06188925081433225,0.1563517915309446,0.06188925081433225,0.11400651465798045,0.0,0.0
intro,0.9243697478991597,0.0,0.01680672268907563,0.0,0.01680672268907563,0.03361344537815126,0.008403361344537815,0.0,0.0,0.0,0.0
outro,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.9733333333333334,0.0,0.013333333333333334,0.0,0.0
bridge,0.39622641509433965,0.0,0.05660377358490566,0.018867924528301886,0.3584905660377358,0.03773584905660377,0.05660377358490566,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.0
solo,0.40476190476190477,0.0,0.023809523809523808,0.047619047619047616,0.21428571428571427,0.023809523809523808,0.09523809523809523,0.07142857142857142,0.07142857142857142,0.023809523809523808,0.023809523809523808
interlude,0.5,0.0,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.14285714285714285,0.0,0.0
instrumental,0.7241379310344828,0.0,0.017241379310344827,0.034482758620689655,0.08620689655172414,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.034482758620689655,0.0,0.034482758620689655
refrain,0.4,0.0,0.1,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0
pre-chorus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
